lr,data_time,loss,loss_kpt,acc_pose,time,epoch,iter,memory,step
4e-08,8.92429232597351,0.8442310094833374,0.8442310094833374,0.009672619047619048,10.182172060012817,1.0,1.0,2984.0,1.0
0.0002105642105263158,8.083500266075134,0.8446423709392548,0.8446423709392548,0.00818452380952381,8.7962167263031,1.0,2.0,3045.0,2.0
0.00042108842105263163,7.051293690999349,0.738824705282847,0.738824705282847,0.02023809523809524,7.575041850407918,1.0,3.0,2007.0,3.0
0.0006316126315789475,7.410890161991119,0.7620513737201691,0.7620513737201691,0.046130952380952384,7.844683587551117,2.0,4.0,3045.0,4.0
0.0008421368421052633,7.561894226074219,0.767623770236969,0.767623770236969,0.08632133408919122,7.941681051254273,2.0,5.0,3045.0,5.0
0.001052661052631579,7.157793958981832,0.7339031000932058,0.7339031000932058,0.09542124542124542,7.492470542589824,2.0,6.0,2007.0,6.0
0.0012631852631578948,7.395590305328369,0.7332272955349514,0.7332272955349514,0.171875,7.70586279460362,3.0,7.0,3045.0,7.0
0.0014737094736842105,7.507045865058899,0.7307652980089188,0.7307652980089188,0.16467072940287225,7.798919200897217,3.0,8.0,3045.0,8.0
0.0016842336842105262,7.249884870317247,0.6954135100046793,0.6954135100046793,0.22976190476190478,7.521168682310316,3.0,9.0,2007.0,9.0
0.0018947578947368419,7.365956735610962,0.7055271804332733,0.7055271804332733,0.16455262660619802,7.626514482498169,4.0,10.0,3045.0,10.0
0.0021052821052631576,7.472016854719683,0.7091904390941967,0.7091904390941967,0.12150415721844292,7.723761341788552,4.0,11.0,3045.0,11.0
0.0023158063157894732,7.300704439481099,0.6885940780242285,0.6885940780242285,0.15595238095238095,7.540426214536031,4.0,12.0,2007.0,12.0
0.002526330526315789,7.389593344468337,0.6867780043528631,0.6867780043528631,0.17633928571428573,7.623486720598661,5.0,13.0,3045.0,13.0
0.0027368547368421046,7.458401271275112,0.6864937927041735,0.6864937927041735,0.24135487528344673,7.687245215688433,5.0,14.0,3045.0,14.0
0.0029473789473684203,7.309613037109375,0.671124537785848,0.671124537785848,0.17261904761904762,7.53040623664856,5.0,15.0,2007.0,15.0
0.003157903157894736,7.392239660024643,0.6725776270031929,0.6725776270031929,0.171875,7.6095114797353745,6.0,16.0,3045.0,16.0
0.0033684273684210517,7.46546794386471,0.6788822482613956,0.6788822482613956,0.16687925170068027,7.6796815816093895,6.0,17.0,3045.0,17.0
0.0035789515789473674,7.336617125405206,0.6657395909229914,0.6657395909229914,0.18571428571428572,7.5449517832862005,6.0,18.0,2007.0,18.0
0.0037894757894736835,7.398102019962511,0.7479036622925809,0.7479036622925809,0.09375,7.604244897240086,7.0,19.0,3045.0,19.0
0.003999999999999999,7.469399309158325,0.7653214052319527,0.7653214052319527,0.13468442932728647,7.673514342308044,7.0,20.0,3045.0,20.0
0.003999999999999999,7.359471729823521,0.7904448693706876,0.7904448693706876,0.0869047619047619,7.559048493703206,7.0,21.0,2007.0,21.0
0.003999999999999999,7.400285211476413,0.8612211251800711,0.8612211251800711,0.056583049886621314,7.598173076456243,8.0,22.0,3045.0,22.0
0.003999999999999999,7.441084250159886,0.8741199879542642,0.8741199879542642,0.08779761904761904,7.6375902321027676,8.0,23.0,3045.0,23.0
0.003999999999999999,7.353810807069142,0.8743586155275503,0.8743586155275503,0.055952380952380955,7.546601573626201,8.0,24.0,2007.0,24.0
0.003999999999999999,7.420978984832764,0.9092391550540924,0.9092391550540924,0.020833333333333332,7.612588262557983,9.0,25.0,3045.0,25.0
0.003999999999999999,7.45904172383822,0.9406852687780674,0.9406852687780674,0.09300595238095238,7.649630418190589,9.0,26.0,3045.0,26.0
0.003999999999999999,7.371584044562446,0.9286797278457217,0.9286797278457217,0.09523809523809523,7.5590733422173395,9.0,27.0,2007.0,27.0
0.003999999999999999,7.421654982226236,0.9385584603462901,0.9385584603462901,0.08705357142857142,7.6082791941506525,10.0,28.0,3045.0,28.0
0.003999999999999999,7.455929756164551,0.9382526186005823,0.9382526186005823,0.140625,7.641779521415973,10.0,29.0,3045.0,29.0
0.003999999999999999,7.378614409764608,0.9298762450615565,0.9298762450615565,0.07622100122100123,7.561864956219991,10.0,30.0,2007.0,30.0
0.003999999999999999,7.4149194148279,0.9300455806716796,0.9300455806716796,0.10867819349962206,7.597523981525052,11.0,31.0,3045.0,31.0
0.003999999999999999,7.449553839862347,0.9412058470770717,0.9412058470770717,0.14212490551776266,7.631538711488247,11.0,32.0,3045.0,32.0
0.003999999999999999,7.375825925306841,0.9291844088019747,0.9291844088019747,0.18571428571428572,7.555531292250662,11.0,33.0,2007.0,33.0
0.003999999999999999,7.411082106478074,0.9258270745768267,0.9258270745768267,0.16325349584278154,7.590410562122569,12.0,34.0,3045.0,34.0
0.003999999999999999,7.443959549495152,0.9217477602618082,0.9217477602618082,0.14362481103552532,7.62295514515468,12.0,35.0,3045.0,35.0
0.003999999999999999,7.381451321972741,0.9080338279406229,0.9080338279406229,0.2071733821733822,7.558460182613796,12.0,36.0,2007.0,36.0
0.003999999999999999,7.414925910331108,0.9019778322529148,0.9019778322529148,0.20099914965986393,7.591704884090939,13.0,37.0,3045.0,37.0
0.003999999999999999,7.452580640190526,0.895918574772383,0.895918574772383,0.1956845238095238,7.629054715758876,13.0,38.0,3045.0,38.0
0.003999999999999999,7.40230760207543,0.8841049457207705,0.8841049457207705,0.2226190476190476,7.5770149903419695,13.0,39.0,2007.0,39.0
0.003999999999999999,7.434353870153427,0.8777926355600357,0.8777926355600357,0.23139880952380953,7.608816432952881,14.0,40.0,3045.0,40.0
