lr,data_time,loss,loss_cls,loss_bbox,time,epoch,iter,memory,step
4e-08,4.30715799331665,0.06971028447151184,0.06727922707796097,0.0024310608860105276,6.4121692180633545,1.0,1.0,2636.0,1.0
4.043963963963964e-06,2.1545580625534058,0.07494363933801651,0.06725693121552467,0.007686709868721664,3.292818307876587,1.0,2.0,2673.0,2.0
8.047927927927926e-06,1.436798334121704,0.07499295224746068,0.06721815715233485,0.007774795327956478,2.252835432688395,1.0,3.0,2673.0,3.0
1.205189189189189e-05,1.0779207944869995,0.07418648526072502,0.06716610118746758,0.00702038494637236,1.7319296002388,1.0,4.0,2673.0,4.0
1.6055855855855853e-05,1.313084888458252,0.07454374730587006,0.06712101399898529,0.007422733632847667,1.8720549106597901,1.0,5.0,2673.0,5.0
2.0059819819819814e-05,1.207763950030009,0.07659197226166725,0.06705298523108165,0.009538987612662217,1.7017759482065837,1.0,6.0,2673.0,6.0
2.4063783783783776e-05,1.0353960650307792,0.07831359122480665,0.06698304414749146,0.011330547310145838,1.4832093375069755,1.0,7.0,2673.0,7.0
2.806774774774774e-05,0.9061594009399414,0.07791232410818338,0.06690781842917204,0.01100450599915348,1.3192903399467468,1.0,8.0,2673.0,8.0
3.2071711711711706e-05,1.1432041592068143,0.07961555073658626,0.06682482279009289,0.01279072843802472,1.530579302046034,1.0,9.0,2673.0,9.0
3.607567567567567e-05,1.0880853891372682,0.085055161267519,0.06673707738518715,0.01831808506976813,1.4538928031921388,1.0,10.0,2673.0,10.0
4.0079639639639635e-05,0.9892856641249224,0.08441570536656813,0.06663795628330925,0.017777749908749352,1.3375847122885964,1.0,11.0,2673.0,11.0
4.40836036036036e-05,0.9069564342498779,0.0850994661450386,0.06654693372547626,0.018552533331482362,1.2405486901601155,1.0,12.0,2673.0,12.0
4.808756756756756e-05,1.0732211699852576,0.08693490120080802,0.06644119035739166,0.02049371197174948,1.3947445429288423,1.0,13.0,2673.0,13.0
5.209153153153152e-05,1.0387386083602905,0.08910470775195531,0.06633349401610238,0.022771215049682984,1.3492935044424874,1.0,14.0,2673.0,14.0
5.609549549549549e-05,1.0481348991394044,0.09866815209388732,0.0663218895594279,0.03234626376070082,1.3494133790334066,1.0,15.0,2673.0,15.0
6.0099459459459453e-05,0.9827061593532562,0.12580098770558834,0.06895621493458748,0.056844772057957016,1.275869145989418,1.0,16.0,2673.0,16.0
6.41034234234234e-05,1.039448569802677,0.12493549112011404,0.06865693190518547,0.05627855832469376,1.325702288571526,1.0,17.0,2673.0,17.0
6.810738738738738e-05,1.0319688320159912,0.14230207684967253,0.06853498601251179,0.07376709082422571,1.3117882543139987,1.0,18.0,2673.0,18.0
7.211135135135135e-05,0.9869473482433119,0.14626693490304446,0.06828353789291884,0.07798339660573554,1.2609053285498368,1.0,19.0,2673.0,19.0
7.61153153153153e-05,0.9376553893089294,0.15055524036288262,0.06802499815821647,0.08253024144796654,1.206349742412567,1.0,20.0,2673.0,20.0
8.011927927927928e-05,0.910793349856422,0.154282631618636,0.06775888534528869,0.0865237457300758,1.1750385534195673,1.0,21.0,2673.0,21.0
8.412324324324324e-05,1.07835345918482,0.15712303803725677,0.06748845140365037,0.0896345857763663,1.3380857164209539,2.0,22.0,2673.0,22.0
8.81272072072072e-05,1.0315215483955715,0.1622716415187587,0.0672504911604135,0.09502114937640727,1.2873139381408691,2.0,23.0,2673.0,23.0
9.213117117117117e-05,0.9885993401209513,0.16677060164511204,0.06700138049200177,0.09976921974642512,1.2404404679934184,2.0,24.0,2673.0,24.0
9.613513513513512e-05,0.9500022983551025,0.16597810685634612,0.06675390496850014,0.09922420053742825,1.1981774425506593,2.0,25.0,2673.0,25.0
0.00010013909909909908,1.0734016069999108,0.2170610880622497,0.08359071855934766,0.13347036591193712,1.3183072255207942,2.0,26.0,2673.0,26.0
0.00010414306306306305,1.0337006780836318,0.23143155872821808,0.08357230587689965,0.14785924911740478,1.2755164570278592,2.0,27.0,2673.0,27.0
0.00010814702702702703,0.9968251245362418,0.24316577134387835,0.08280137633638722,0.16036439180606976,1.235685076032366,2.0,28.0,2673.0,28.0
0.00011215099099099098,0.9624953845451618,0.2504033348683653,0.08217082480932104,0.16823250696801678,1.1986893867624218,2.0,29.0,2673.0,29.0
0.00011615495495495494,1.0478656450907389,0.2667591715852419,0.08394837304949761,0.1828107955477511,1.2815869967142741,2.0,30.0,2673.0,30.0
0.0001201589189189189,1.0269919364683089,0.27258465799593157,0.08313464962186352,0.1894500056026323,1.2582797542695077,2.0,31.0,2673.0,31.0
0.00012416288288288286,0.99493508040905,0.29513707431033254,0.08324646332766861,0.21189060922915814,1.223927080631256,2.0,32.0,2673.0,32.0
0.00012816684684684683,0.9725161754723751,0.30164879605625616,0.08248011384046439,0.21916868040253493,1.1993692137978293,2.0,33.0,2673.0,33.0
0.0001321708108108108,1.0387877646614523,0.31139551409903693,0.08218265960321706,0.22921285317416357,1.2638216369292314,2.0,34.0,2673.0,34.0
0.00013617477477477477,1.0226058278764998,0.3110575160809926,0.08145644898925508,0.22960106580784279,1.2457183020455496,2.0,35.0,2673.0,35.0
0.00014017873873873875,0.9942291180292765,0.3136653953956233,0.08084914419386122,0.2328162501604917,1.2155398792690701,2.0,36.0,2673.0,36.0
0.00014418270270270272,0.9731486810220255,0.31888371585188685,0.0802057343157562,0.23867798112710384,1.192756188882364,2.0,37.0,2673.0,37.0
0.0001481866666666667,1.0311626760583175,0.32885786616488505,0.0797086422772784,0.2491492230972079,1.2492693662643433,2.0,38.0,2673.0,38.0
